leto,podrocje,ime,URL,datum rojstva,drzava rojstva,nagrade
2004,Psihologija ali medicina,Linda B. Buck,https://en.wikipedia.org/wiki/Linda_B._Buck,1947-01-29,U.S.,Takasago Award; Lewis S. Rosenstiel Award; Perl-UNC Prize; Gairdner Foundation International Award  [ 1 ]; Gairdner Foundation International Award; [ 1 ]; Nobel Prize in Physiology or Medicine
2005,Psihologija ali medicina,Barry Marshall,https://en.wikipedia.org/wiki/Barry_Marshall,1951-09-30,Western Australia,Lasker Award; Paul Ehrlich and Ludwig Darmstaedter Prize; Buchanan Medal; FRS  [ 1 ]; FRS; [ 1 ]; Prince Mahidol Award; Keio Medical Science Prize; Nobel Prize in Physiology; Western Australian of the Year Awards; Companion of the Order of Australia; Order of Australia
2005,Psihologija ali medicina,Robin Warren,https://en.wikipedia.org/wiki/Robin_Warren,1937-06-11,Australia,Paul Ehrlich and Ludwig Darmstaedter Prize; Nobel Prize in Physiology or Medicine
2006,Psihologija ali medicina,Andrew Fire,https://en.wikipedia.org/wiki/Andrew_Fire,1959-04-27,U.S.,Meyenburg Prize; NAS Award in Molecular Biology; Wiley Prize; Massry Prize; Nobel Prize in Physiology or Medicine
2006,Psihologija ali medicina,Craig Mello,https://en.wikipedia.org/wiki/Craig_Mello,1960-10-18,U.S.,Wiley Prize; NAS Award in Molecular Biology; Massry Prize; Gairdner Foundation International Award; Nobel Prize in Physiology or Medicine
2007,Psihologija ali medicina,Mario Capecchi,https://en.wikipedia.org/wiki/Mario_Capecchi,1937-10-06,Italy,Kyoto Prize; Franklin Medal; Albert Lasker Award for Basic Medical Research; Massry Prize; Wolf Prize in Medicine; Nobel Prize in Physiology or Medicine
2007,Psihologija ali medicina,Martin Evans,https://en.wikipedia.org/wiki/Martin_Evans,1941-01-01,England,William Bate Hardy Prize; Lasker Award; Knight Bachelor  [ 1 ]; Knight Bachelor; [ 1 ]; Nobel Prize in Physiology or Medicine
2007,Psihologija ali medicina,Oliver Smithies,https://en.wikipedia.org/wiki/Oliver_Smithies,1925-06-23,England,Lasker Award; Wolf Prize in Medicine; Thomas Hunt Morgan Medal; Nobel Prize in Physiology or Medicine
2008,Psihologija ali medicina,Harald zur Hausen,https://en.wikipedia.org/wiki/Harald_zur_Hausen,1936-03-11,Germany,Ernst Jung Prize; Prince Mahidol Award; Nobel Prize in Physiology or Medicine
2008,Psihologija ali medicina,Françoise Barré-Sinoussi,https://en.wikipedia.org/wiki/Fran%C3%A7oise_Barr%C3%A9-Sinoussi,1947-07-30,France,Nobel Prize in Physiology or Medicine
2008,Psihologija ali medicina,Luc Montagnier,https://en.wikipedia.org/wiki/Luc_Montagnier,1932-08-18,France,1986 Louis-Jeantet Prize for Medicine [ 1 ]; Louis-Jeantet Prize for Medicine; [ 1 ]; 1988 Japan Prize; Japan Prize; 2008 Nobel Prize in Physiology or Medicine; Nobel Prize in Physiology or Medicine
2009,Psihologija ali medicina,Elizabeth Blackburn,https://en.wikipedia.org/wiki/Elizabeth_Blackburn,1948-11-26,Australia,NAS Award in Molecular Biology; Australia Prize; Harvey Prize; Dickson Prize; Heineken Prize; Lasker Award; Louisa Gross Horwitz Prize; ASCB Public Service Award; Meyenburg Prize; L'Oréal-UNESCO Award for Women in Science; Nobel Prize in Physiology or Medicine  AIC Gold Medal; Nobel Prize in Physiology or Medicine; AIC Gold Medal
2009,Psihologija ali medicina,Carol W. Greider,https://en.wikipedia.org/wiki/Carol_W._Greider,1961-04-15,U.S.,Richard Lounsbery Award; Lasker Award; Louisa Gross Horwitz Prize; Nobel Prize in Physiology or Medicine
2009,Psihologija ali medicina,Jack W. Szostak,https://en.wikipedia.org/wiki/Jack_W._Szostak,1952-11-09,England,Nobel Prize for Physiology or Medicine; Lasker Award; NAS Award in Molecular Biology
2010,Psihologija ali medicina,Robert Edwards,https://en.wikipedia.org/wiki/Robert_Edwards,,,
2011,Psihologija ali medicina,Bruce Beutler,https://en.wikipedia.org/wiki/Bruce_Beutler,1957-12-29,U.S.,Nobel Prize; Physiology or Medicine
2011,Psihologija ali medicina,Jules A. Hoffmann,https://en.wikipedia.org/wiki/Jules_A._Hoffmann,1941-08-02,German-occupied Luxembourg,Balzan Prize; Keio Medical Science Prize; Nobel Prize in Physiology or Medicine; Gairdner Foundation International Award
2011,Psihologija ali medicina,Ralph M. Steinman,https://en.wikipedia.org/wiki/Ralph_M._Steinman,1943-01-14,Canada,Robert Koch Prize; Gairdner Foundation International Award; Nobel Prize in Physiology or Medicine
2012,Psihologija ali medicina,John B. Gurdon,https://en.wikipedia.org/wiki/John_B._Gurdon,1933-10-02,England,Paul Ehrlich and Ludwig Darmstaedter Prize; William Bate Hardy Prize; Royal Medal; International Prize for Biology; Wolf Prize in Medicine; Edwin Grant Conklin Medal; Albert Lasker Basic Medical Research Award; Nobel Prize in Physiology or Medicine
2012,Psihologija ali medicina,Shinya Yamanaka,https://en.wikipedia.org/wiki/Shinya_Yamanaka,1962-09-04,Japan,Meyenburg Prize; Massry Prize; Robert Koch Prize; Shaw Prize; Gairdner Foundation International Award; Albert Lasker Basic Medical Research Award; Balzan Prize; Kyoto Prize; BBVA Foundation Frontiers of Knowledge Award; Wolf Prize; McEwen Award for Innovation; National Academy of Sciences; [ 1 ]; Millennium Technology Prize; Nobel Prize in Physiology or Medicine
2013,Psihologija ali medicina,James E. Rothman,https://en.wikipedia.org/wiki/James_E._Rothman,1950-11-03,U.S.,Heinrich Wieland Prize; Rosenstiel Award; Richard Lounsbery Award; Louisa Gross Horwitz Prize; Albert Lasker award; E. B. Wilson Medal; Nobel Prize in Physiology or Medicine
2013,Psihologija ali medicina,Randy W. Schekman,https://en.wikipedia.org/wiki/Randy_W._Schekman,1948-12-30,U.S.,Member of the National Academy of Sciences; Rosenstiel Award; Gairdner Foundation International Award; Lasker award; Louisa Gross Horwitz Prize; Massry Prize; E. B. Wilson Medal; ForMemRS  [ 1 ]; ForMemRS; [ 1 ]; Nobel Prize in Physiology or Medicine  [ 2 ]; Nobel Prize in Physiology or Medicine; [ 2 ]
2013,Psihologija ali medicina,Thomas C. Südhof,https://en.wikipedia.org/wiki/Thomas_C._S%C3%BCdhof,1955-12-22,Germany,Lasker Award; Nobel Prize; ForMemRS  [ 1 ]; ForMemRS; [ 1 ]
2014,Psihologija ali medicina,John O'Keefe,https://en.wikipedia.org/wiki/John_O%27Keefe,,,
2014,Psihologija ali medicina,May-Britt Moser,https://en.wikipedia.org/wiki/May-Britt_Moser,,Norway,Louis-Jeantet Prize for Medicine; Nobel Prize in Physiology or Medicine
2014,Psihologija ali medicina,Edvard Moser,https://en.wikipedia.org/wiki/Edvard_Moser,1962-04-27,Norway,Louis-Jeantet Prize for Medicine; Foreign Associate of the National Academy of Sciences; Nobel Prize in Physiology or Medicine
2015,Psihologija ali medicina,William C. Campbell,https://en.wikipedia.org/wiki/William_C._Campbell,,,
2015,Psihologija ali medicina,Satoshi Ōmura,https://en.wikipedia.org/wiki/Satoshi_%C5%8Cmura,1935-07-12,Japan,Japan Academy Prize; Koch Gold Medal; Ernest Guenther Award in the Chemistry of Natural Products; Tetrahedron Prize for Creativity in Organic Chemistry; Gairdner Global Health Award; Nobel Prize in Physiology or Medicine
2015,Psihologija ali medicina,Tu Youyou,https://en.wikipedia.org/wiki/Tu_Youyou,1930-12-30,China,Lasker-DeBakey Clinical Medical Research Award; Warren Alpert Foundation Prize; Nobel Prize in Physiology or Medicine; Highest Science and Technology Award; Medal of the Republic
2016,Psihologija ali medicina,Yoshinori Ohsumi,https://en.wikipedia.org/wiki/Yoshinori_Ohsumi,1945-02-09,Japan,Kyoto Prize; Gairdner Foundation International Award; Nobel Prize in Physiology or Medicine; Breakthrough Prize in Life Sciences
2017,Psihologija ali medicina,Jeffrey C. Hall,https://en.wikipedia.org/wiki/Jeffrey_C._Hall,,,
2017,Psihologija ali medicina,Michael Rosbash,https://en.wikipedia.org/wiki/Michael_Rosbash,,,
2017,Psihologija ali medicina,Michael W. Young,https://en.wikipedia.org/wiki/Michael_W._Young,,,
2018,Psihologija ali medicina,James P. Allison,https://en.wikipedia.org/wiki/James_P._Allison,,,
2018,Psihologija ali medicina,Tasuku Honjo,https://en.wikipedia.org/wiki/Tasuku_Honjo,,,
2019,Psihologija ali medicina,William Kaelin Jr.,https://en.wikipedia.org/wiki/William_Kaelin_Jr.,1957-11-23,U.S.,Albert Lasker Award for Basic Medical Research; Nobel Prize in Physiology or Medicine
2019,Psihologija ali medicina,Peter J. Ratcliffe,https://en.wikipedia.org/wiki/Peter_J._Ratcliffe,1954-05-14,England,Fellow of the Royal Society; Albert Lasker Award for Basic Medical Research; Physiological Society Annual Review Prize Lecture; Louis-Jeantet Prize for Medicine; Knight Bachelor; Fellow of the Academy of Medical Sciences; EMBO Membership; Baly Medal; Grand Prix scientifique de la Fondation Lefoulon-Delalande; Robert J. and Claire Pasarow Foundation Medical Research Award; Nobel Prize in Physiology or Medicine
2019,Psihologija ali medicina,Gregg L. Semenza,https://en.wikipedia.org/wiki/Gregg_L._Semenza,1956-07-12,U.S.,Albert Lasker Award for Basic Medical Research; Nobel Prize in Physiology or Medicine
2020,Psihologija ali medicina,Harvey J. Alter,https://en.wikipedia.org/wiki/Harvey_J._Alter,1935-09-12,U.S.,Karl Landsteiner Memorial Award; Lasker Award; Gairdner Foundation International Award; Nobel Prize for Medicine
2020,Psihologija ali medicina,Michael Houghton,https://en.wikipedia.org/wiki/Michael_Houghton,,age 75–76,Karl Landsteiner Memorial Award; Robert Koch Prize; William Beaumont Prize; Lasker Award; Gairdner Foundation International Award; Nobel Prize for Medicine
2020,Psihologija ali medicina,Charles M. Rice,https://en.wikipedia.org/wiki/Charles_M._Rice,1952-08-25,U.S.,Robert Koch Prize; Lasker-DeBakey Clinical Medical Research Award; Nobel Prize in Physiology or Medicine
2021,Psihologija ali medicina,David Julius,https://en.wikipedia.org/wiki/David_Julius,1955-11-04,U.S.,Nobel Prize for Medicine; Breakthrough Prize in Life Sciences
2021,Psihologija ali medicina,Ardem Patapoutian,https://en.wikipedia.org/wiki/Ardem_Patapoutian,1967-10-01,Lebanon,Nobel Prize in Physiology or Medicine
2022,Psihologija ali medicina,Svante Pääbo,https://en.wikipedia.org/wiki/Svante_P%C3%A4%C3%A4bo,1955-04-20,Sweden,Gottfried Wilhelm Leibniz Prize; Max Delbrück Medal; Louis-Jeantet Prize for Medicine  [ 1 ]; Louis-Jeantet Prize for Medicine; [ 1 ]; Pour le Mérite; Kistler Prize; Great Cross of Merit with star; Gruber Prize in Genetics; Lomonosov Gold Medal; Breakthrough Prize in Life Sciences; Keio Medical Science Prize; Princess of Asturias Award; Körber European Science Prize; Darwin–Wallace Medal; Japan Prize; Massry Prize; Nobel Prize in Physiology or Medicine ( 2022 ); Nobel Prize in Physiology or Medicine; 2022; Commander Grand Cross of the Order of the Polar Star
2023,Psihologija ali medicina,Katalin Karikó,https://en.wikipedia.org/wiki/Katalin_Karik%C3%B3,1955-01-17,Hungary,Nobel Prize in Physiology or Medicine; several others
2023,Psihologija ali medicina,Drew Weissman,https://en.wikipedia.org/wiki/Drew_Weissman,1959-09-07,U.S.,Rosenstiel Award; Lasker–DeBakey Clinical Medical Research Award; VinFuture Prize; Breakthrough Prize in Life Sciences; Harvey Prize; Nobel Prize in Physiology or Medicine
2024,Psihologija ali medicina,Victor Ambros,https://en.wikipedia.org/wiki/Victor_Ambros,1953-12-01,U.S.,Wolf Prize in Medicine; Nobel Prize in Physiology or Medicine
2024,Psihologija ali medicina,Gary Ruvkun,https://en.wikipedia.org/wiki/Gary_Ruvkun,1952-03-26,U.S. [ 2 ],Wolf Prize in Medicine; Nobel Prize in Physiology or Medicine
