leto,podrocje,ime,URL,datum rojstva,drzava rojstva,nagrade
2018,Fizika,Gérard Mourou,https://en.wikipedia.org/wiki/G%C3%A9rard_Mourou,1944-06-22,Occupied France,R. W. Wood Prize; Nobel Prize in Physics
2018,Fizika,Donna Strickland,https://en.wikipedia.org/wiki/Donna_Strickland,1959-05-27,Canada,Nobel Prize
2019,Fizika,Jim Peebles,https://en.wikipedia.org/wiki/Jim_Peebles,1935-04-25,Canada,Eddington Medal; Heineman Prize; Bruce Medal; Gold Medal of the Royal Astronomical Society; Gruber Prize; Harvey Prize; Shaw Prize; Crafoord Prize; Dirac Medal; Order of Manitoba; Nobel Prize in Physics
2019,Fizika,Michel Mayor,https://en.wikipedia.org/wiki/Michel_Mayor,1942-01-12,Switzerland,Prix Jules Janssen; Albert Einstein Medal; [ 1 ]; Shaw Prize; Kyoto Prize in Basic Sciences; Wolf Prize; Nobel Prize in Physics
2019,Fizika,Didier Queloz,https://en.wikipedia.org/wiki/Didier_Queloz,1966-02-23,23 February 1966 (age 59) Switzerland,Wolf Prize in Physics; Nobel Prize in Physics
2020,Fizika,Roger Penrose,https://en.wikipedia.org/wiki/Roger_Penrose,1931-08-08,England,Adams Prize; Heineman Prize; Fellow of the Royal Society; Eddington Medal; Royal Medal; Wolf Prize; Dirac Medal (IOP); Albert Einstein Medal; Naylor Prize and Lectureship; Knight Bachelor; James Scott Prize Lectureship (1997–2000); James Scott Prize Lectureship; Karl Schwarzschild Medal; De Morgan Medal; Dalton Medal; Copley Medal; Fonseca Prize; Nobel Prize in Physics
2020,Fizika,Reinhard Genzel,https://en.wikipedia.org/wiki/Reinhard_Genzel,1952-03-24,West Germany (now Germany,Otto Hahn Medal; Balzan Prize; Shaw Prize; Crafoord Prize; Tycho Brahe Prize; Fellow of the Royal Society; Harvey Prize; Nobel Prize in Physics
2020,Fizika,Andrea M. Ghez,https://en.wikipedia.org/wiki/Andrea_M._Ghez,1965-06-16,U.S.,MacArthur Fellowship; Crafoord Prize; Nobel Prize in Physics
2021,Fizika,Giorgio Parisi,https://en.wikipedia.org/wiki/Giorgio_Parisi,1948-08-04,Italy,Boltzmann Medal; Dirac Medal; Enrico Fermi Prize; Dannie Heineman Prize; Nonino Prize; Microsoft Award; Lagrange Prize; Max Planck Medal; EPS HEPP Prize; Lars Onsager Prize; Pomeranchuk Prize; Wolf Prize; Clarivate Citation Laureates; Nobel Prize in Physics
2021,Fizika,Klaus Hasselmann,https://en.wikipedia.org/wiki/Klaus_Hasselmann,1931-10-25,Weimar Republic,Nobel Prize in Physics
2021,Fizika,Syukuro Manabe,https://en.wikipedia.org/wiki/Syukuro_Manabe,1931-09-21,Japan,Carl-Gustaf Rossby Research Medal; Blue Planet Prize; Roger Revelle Medal; Asahi Prize; Volvo Environment Prize; William Bowie Medal; Franklin Institute Awards; Crafoord Prize; Nobel Prize in Physics
2022,Fizika,Alain Aspect,https://en.wikipedia.org/wiki/Alain_Aspect,1947-06-15,France,Holweck Medal; Wolf Prize in Physics; Albert Einstein Medal; ForMemRS  [ 1 ]; ForMemRS; [ 1 ]; Nobel Prize in Physics
2022,Fizika,John Clauser,https://en.wikipedia.org/wiki/John_Clauser,1942-12-01,U.S.,Wolf Prize in Physics; Nobel Prize in Physics
2022,Fizika,Anton Zeilinger,https://en.wikipedia.org/wiki/Anton_Zeilinger,1945-05-20,Austria,Pour le Mérite; Klopsteg Memorial Award; King Faisal Prize; Wilhelm Exner Medal; Isaac Newton Medal; Wolf Prize in Physics; Racah lecture; John Stewart Bell Prize; IEEE Honorary Membership; Micius Quantum Prize; Nobel Prize in Physics
2023,Fizika,Pierre Agostini,https://en.wikipedia.org/wiki/Pierre_Agostini,1941-07-23,French Tunisia,Gay-Lussac–Humboldt Prize; William F. Meggers Award; Nobel Prize in Physics
2023,Fizika,Ferenc Krausz,https://en.wikipedia.org/wiki/Ferenc_Krausz,1962-05-17,Hungarian People's Republic,Wolf Prize in Physics; BBVA Foundation Frontiers of Knowledge Award; Nobel Prize in Physics
2023,Fizika,Anne L'Huillier,https://en.wikipedia.org/wiki/Anne_L%27Huillier,1958-08-16,France,UNESCO L'Oréal Award; BBVA Foundation Frontiers of Knowledge Award; Wolf Prize in Physics; Nobel Prize in Physics
2024,Fizika,John Hopfield,https://en.wikipedia.org/wiki/John_Hopfield,1933-07-15,U.S.,Oliver Buckley Prize; Dirac Medal of the ICTP; Dirac Medal; ICTP; Harold Pender Award; Albert Einstein World Award of Science; Benjamin Franklin Medal; Boltzmann Medal; Nobel Prize in Physics; Queen Elizabeth Prize for Engineering
2024,Fizika,Geoffrey Hinton,https://en.wikipedia.org/wiki/Geoffrey_Hinton,1947-12-06,England,Rumelhart Prize; Turing Award; Dickson Prize; Princess of Asturias Award; Nobel Prize in Physics; VinFuture Prize; Queen Elizabeth Prize for Engineering
1901,Kemija,Jacobus Henricus van 't Hoff,https://en.wikipedia.org/wiki/Jacobus_Henricus_van_%27t_Hoff,1852-08-30,Netherlands,Davy Medal; Pour le Mérite; ForMemRS  [ 1 ]; ForMemRS; [ 1 ]; Nobel Prize for Chemistry; Helmholtz Medal
1902,Kemija,Emil Fischer,https://en.wikipedia.org/wiki/Emil_Fischer,1852-10-09,Prussia,Davy Medal; ForMemRS  [ 1 ]; ForMemRS; [ 1 ]; Nobel Prize in Chemistry; Faraday Lectureship Prize; Elliott Cresson Medal
1903,Kemija,Svante Arrhenius,https://en.wikipedia.org/wiki/Svante_Arrhenius,1859-02-19,Sweden,Davy Medal; Nobel Prize in Chemistry; International membership of NAS; ForMemRS; Willard Gibbs Award; Faraday Lectureship Prize; Franklin Medal
1904,Kemija,William Ramsay,https://en.wikipedia.org/wiki/William_Ramsay,1852-10-02,Scotland,Leconte Prize; Barnard Medal for Meritorious Service to Science; Davy Medal; Longstaff Prize; Nobel Prize in Chemistry; Matteucci Medal; Elliott Cresson Medal
1905,Kemija,Adolf von Baeyer,https://en.wikipedia.org/wiki/Adolf_von_Baeyer,1835-10-31,Prussia,Davy Medal; Liebig Medal; Nobel Prize for Chemistry; Elliott Cresson Medal
1906,Kemija,Henri Moissan,https://en.wikipedia.org/wiki/Henri_Moissan,1852-09-28,France,Davy Medal; Elliott Cresson Medal; ForMemRS; Nobel Prize for Chemistry
1907,Kemija,Eduard Buchner,https://en.wikipedia.org/wiki/Eduard_Buchner,1860-05-20,Kingdom of Bavaria,Liebig Medal; Nobel Prize in Chemistry
1908,Kemija,Ernest Rutherford,https://en.wikipedia.org/wiki/Ernest_Rutherford,1871-08-30,British Empire,FRS; Bakerian Medal (1904; 1920); Bakerian Medal; Rumford Medal; Nobel Prize in Chemistry; Elliott Cresson Medal; Barnard Medal for Meritorious Service to Science; Matteucci Medal; Hector Memorial Medal; Dalton Medal; Copley Medal; Franklin Medal; Order of Merit; RSA Albert Medal; IET Faraday Medal; Faraday Lectureship Prize; Wilhelm Exner Medal
1909,Kemija,Wilhelm Ostwald,https://en.wikipedia.org/wiki/Wilhelm_Ostwald,,,Faraday Lectureship Prize; Nobel Prize in Chemistry; Wilhelm Exner Medal
1910,Kemija,Otto Wallach,https://en.wikipedia.org/wiki/Otto_Wallach,1847-03-27,Prussia,Davy Medal; Nobel Prize for Chemistry; Cothenius Medal
1911,Kemija,Marie Curie,https://en.wikipedia.org/wiki/Marie_Curie,1867-11-07,Russian Empire,Davy Medal; Nobel Prize in Physics; Matteucci Medal; Actonian Prize; Elliott Cresson Medal; Albert Medal; Nobel Prize in Chemistry; Willard Gibbs Award; John Scott Medal; Cameron Prize for Therapeutics of the University of Edinburgh
1912,Kemija,Victor Grignard,https://en.wikipedia.org/wiki/Victor_Grignard,1871-05-06,France,Nobel Prize for Chemistry; Lavoisier Medal
1912,Kemija,Paul Sabatier,https://en.wikipedia.org/wiki/Paul_Sabatier,,,
1913,Kemija,Alfred Werner,https://en.wikipedia.org/wiki/Alfred_Werner,,,Nobel Prize for Chemistry
1914,Kemija,Theodore William Richards,https://en.wikipedia.org/wiki/Theodore_William_Richards,1868-01-31,U.S,Davy Medal; Willard Gibbs Award; Nobel Prize for Chemistry; Franklin Medal
1915,Kemija,Richard Willstätter,https://en.wikipedia.org/wiki/Richard_Willst%C3%A4tter,,,Nobel Prize for Chemistry; Faraday Lectureship Prize; Davy Medal; Willard Gibbs Award; Fellow of the Royal Society; [ 1 ]
1918,Kemija,Fritz Haber,https://en.wikipedia.org/wiki/Fritz_Haber,1868-12-09,North German Confederation [ 1 ],Iron Cross; Nobel Prize in Chemistry; Rumford Medal; International membership of NAS
1920,Kemija,Walther Nernst,https://en.wikipedia.org/wiki/Walther_Nernst,1864-06-25,Poland,Pour le Mérite; Nobel Prize in Chemistry; Franklin Medal; ForMemRS
1921,Kemija,Frederick Soddy,https://en.wikipedia.org/wiki/Frederick_Soddy,1877-09-02,England,Nobel Prize in Chemistry; Soddy crater; Fellow of the Royal Society [ 1 ]; Fellow of the Royal Society; [ 1 ]
1922,Kemija,Francis William Aston,https://en.wikipedia.org/wiki/Francis_William_Aston,1877-09-01,England,Mackenzie Davidson Medal; Nobel Prize for Chemistry; Hughes Medal; John Scott Medal; Royal Medal; Duddell Medal and Prize
1923,Kemija,Fritz Pregl,https://en.wikipedia.org/wiki/Fritz_Pregl,1869-09-03,Slovenia,Lieben Prize; Nobel Prize for Chemistry
1925,Kemija,Richard Adolf Zsigmondy,https://en.wikipedia.org/wiki/Richard_Adolf_Zsigmondy,1865-04-01,Austrian Empire,Nobel Prize in Chemistry
1926,Kemija,Theodor Svedberg,https://en.wikipedia.org/wiki/Theodor_Svedberg,1884-08-30,Sweden,Nobel Prize for Chemistry; [ 1 ]; Franklin Medal; Foreign Member of the Royal Society; [ 2 ]; Björkénska priset
1927,Kemija,Heinrich Otto Wieland,https://en.wikipedia.org/wiki/Heinrich_Otto_Wieland,1877-06-04,Germany,Otto Hahn Prize for Chemistry and Physics; Pour le Mérite for Sciences and Arts; Goethe Medal; ForMemRS; [ 1 ]; Nobel Prize for Chemistry
1928,Kemija,Adolf Windaus,https://en.wikipedia.org/wiki/Adolf_Windaus,,,Pour le Mérite for Sciences and Arts; Goethe Medal; Nobel Prize for Chemistry
1929,Kemija,Arthur Harden,https://en.wikipedia.org/wiki/Arthur_Harden,1865-10-12,United Kingdom,Nobel Prize in Chemistry; Davy Medal
1929,Kemija,Hans von Euler-Chelpin,https://en.wikipedia.org/wiki/Hans_von_Euler-Chelpin,1873-02-15,German Empire [ 1 ] [ 2 ],Nobel Prize for Chemistry
1930,Kemija,Hans Fischer,https://en.wikipedia.org/wiki/Hans_Fischer,1881-07-27,German Empire,Liebig Medal; Nobel Prize for Chemistry; Davy Medal
1931,Kemija,Carl Bosch,https://en.wikipedia.org/wiki/Carl_Bosch,1874-08-27,German Empire,Liebig Medal; Werner von Siemens Ring; Nobel Prize in Chemistry; Wilhelm Exner Medal; Goethe Prize
1931,Kemija,Friedrich Bergius,https://en.wikipedia.org/wiki/Friedrich_Bergius,1884-10-11,Poland,Nobel Prize for Chemistry; Melchett Medal; Wilhelm Exner Medal
1932,Kemija,Irving Langmuir,https://en.wikipedia.org/wiki/Irving_Langmuir,1881-01-31,U.S.,William H. Nichols Medal (1915; 1920); William H. Nichols Medal; Hughes Medal; Perkin Medal; Willard Gibbs Award; Nobel Prize in Chemistry; Franklin Medal; Faraday Lectureship Prize; Faraday Medal; John J. Carty Award; ForMemRS [ 1 ]; ForMemRS; [ 1 ]
1934,Kemija,Harold Urey,https://en.wikipedia.org/wiki/Harold_Urey,1893-04-29,U.S.,Nobel Prize for Chemistry; Willard Gibbs Award; Davy Medal; Franklin Medal; Medal for Merit; Foreign Member of the Royal Society; J. Lawrence Smith Medal; National Medal of Science; Gold Medal of the Royal Astronomical Society; Priestley Medal; V. M. Goldschmidt Award
1935,Kemija,Frédéric Joliot-Curie,https://en.wikipedia.org/wiki/Fr%C3%A9d%C3%A9ric_Joliot-Curie,1900-03-19,French Third Republic,Nobel Prize in Chemistry; ForMemRS [ 1 ]; ForMemRS; [ 1 ]; Hughes Medal; Stalin Peace Prize
1935,Kemija,Irène Joliot-Curie,https://en.wikipedia.org/wiki/Ir%C3%A8ne_Joliot-Curie,1897-09-12,French Third Republic,Nobel Prize in Chemistry
1936,Kemija,Peter Debye,https://en.wikipedia.org/wiki/Peter_Debye,1884-03-24,Netherlands,Rumford Medal; Faraday Lectureship Prize; Lorentz Medal; Nobel Prize in Chemistry; Willard Gibbs Award; Max Planck Medal; William H. Nichols Medal; Priestley Medal; National Medal of Science
1937,Kemija,Norman Haworth,https://en.wikipedia.org/wiki/Norman_Haworth,1883-03-19,England,Longstaff Prize; Davy Medal; Nobel Prize for Chemistry; Royal Medal
1937,Kemija,Paul Karrer,https://en.wikipedia.org/wiki/Paul_Karrer,1889-04-21,Russia,Marcel Benoist Prize; Nobel Prize for Chemistry
1938,Kemija,Richard Kuhn[b],https://en.wikipedia.org/wiki/Richard_Kuhn%5Bb%5D,,,
1939,Kemija,Adolf Butenandt,https://en.wikipedia.org/wiki/Adolf_Butenandt,1903-03-24,Germany,Nobel Prize for Chemistry; Kriegsverdienstkreuz
1939,Kemija,[b] Leopold Ružička,https://en.wikipedia.org/wiki/%5Bb%5D_Leopold_Ru%C5%BEi%C4%8Dka,,,
1940,Kemija,Cancelled due to World War II,https://en.wikipedia.org/wiki/Cancelled_due_to_World_War_II,,,
1941,Kemija,Cancelled due to World War II,https://en.wikipedia.org/wiki/Cancelled_due_to_World_War_II,,,
1942,Kemija,Cancelled due to World War II,https://en.wikipedia.org/wiki/Cancelled_due_to_World_War_II,,,
1943,Kemija,George de Hevesy,https://en.wikipedia.org/wiki/George_de_Hevesy,1885-08-01,Kingdom of Hungary,Nobel Prize for Chemistry; Copley Medal; Faraday Lectureship Prize; Atoms for Peace Award; Fellow of the Royal Society; [ 1 ]; Niels Bohr International Gold Medal
1944,Kemija,Otto Hahn,https://en.wikipedia.org/wiki/Otto_Hahn,1879-03-08,German Empire,Nobel Prize in Chemistry; Max Planck Medal; Pour le Mérite; Faraday Lectureship Prize; ForMemRS; Wilhelm Exner Medal; Legion of Honour; Enrico Fermi Award
1945,Kemija,Artturi Ilmari Virtanen,https://en.wikipedia.org/wiki/Artturi_Ilmari_Virtanen,1895-01-15,Russian Empire,Nobel Prize in Chemistry
1946,Kemija,James B. Sumner,https://en.wikipedia.org/wiki/James_B._Sumner,1887-11-19,USA,Nobel Prize in Chemistry
1946,Kemija,John Howard Northrop,https://en.wikipedia.org/wiki/John_Howard_Northrop,1891-07-05,U.S.,Nobel Prize in Chemistry; Daniel Giraud Elliot Medal
1946,Kemija,Wendell Meredith Stanley,https://en.wikipedia.org/wiki/Wendell_Meredith_Stanley,1904-08-16,USA,Newcomb Cleveland Prize; Nobel Prize in Chemistry; William H. Nichols Medal; Willard Gibbs Award; Franklin Medal; Order of the Rising Sun
1947,Kemija,Robert Robinson,https://en.wikipedia.org/wiki/Robert_Robinson,,,
1948,Kemija,Arne Tiselius,https://en.wikipedia.org/wiki/Arne_Tiselius,1902-08-10,Sweden,Björkénska priset; Nobel Prize for Chemistry; Centenary Prize; Franklin Medal
1949,Kemija,William Giauque,https://en.wikipedia.org/wiki/William_Giauque,1895-05-12,Canada,Elliott Cresson Medal; Nobel Prize for Chemistry; Willard Gibbs Award
1950,Kemija,Otto Diels,https://en.wikipedia.org/wiki/Otto_Diels,1876-01-23,German Empire,Nobel Prize in Chemistry
1950,Kemija,Kurt Alder,https://en.wikipedia.org/wiki/Kurt_Alder,1902-07-10,German Empire,Nobel Prize for Chemistry
1951,Kemija,Edwin McMillan,https://en.wikipedia.org/wiki/Edwin_McMillan,1907-09-18,U.S.,Nobel Prize in Chemistry; Atoms for Peace Award; National Medal of Science
1951,Kemija,Glenn T. Seaborg,https://en.wikipedia.org/wiki/Glenn_T._Seaborg,1912-04-19,U.S.,ACS Award in Pure Chemistry; Member of the National Academy of Sciences; Nobel Prize in Chemistry; Centenary Prize; Perkin Medal  [ 1 ]; Perkin Medal; [ 1 ]; Enrico Fermi Award; Franklin Medal; Willard Gibbs Award; Priestley Medal; Foreign Member of the Royal Society  [ 2 ]; Foreign Member of the Royal Society; [ 2 ]; Vannevar Bush Award; National Medal of Science
1952,Kemija,Archer Martin,https://en.wikipedia.org/wiki/Archer_Martin,1910-03-01,England,FRS; Nobel Prize in Chemistry; John Price Wetherill Medal; Leverhulme Medal
1952,Kemija,Richard Laurence Millington Synge,https://en.wikipedia.org/wiki/Richard_Laurence_Millington_Synge,1914-10-28,England,FRS; Nobel Prize in Chemistry; John Price Wetherill Medal
1953,Kemija,Hermann Staudinger,https://en.wikipedia.org/wiki/Hermann_Staudinger,1881-03-23,German Empire,Nobel Prize in Chemistry; Rudolf Diesel Medal
1954,Kemija,Linus Pauling,https://en.wikipedia.org/wiki/Linus_Pauling,1901-02-28,U.S.,ACS Award in Pure Chemistry; Irving Langmuir Award; Davy Medal; Nobel Prize in Chemistry; Nobel Peace Prize; Roebling Medal; Lenin Peace Prize (1968–1969); Lenin Peace Prize; National Medal of Science; Lomonosov Gold Medal; NAS Award in Chemical Sciences; Priestley Medal; Vannevar Bush Award
1955,Kemija,Vincent du Vigneaud,https://en.wikipedia.org/wiki/Vincent_du_Vigneaud,,,William H. Nichols Medal; Albert Lasker Award for Basic Medical Research; Nobel Prize for Chemistry; Willard Gibbs Award
1956,Kemija,Cyril Norman Hinshelwood,https://en.wikipedia.org/wiki/Cyril_Norman_Hinshelwood,1897-06-19,England,Meldola Medal and Prize; FRS  [ 1 ] [ 2 ]; FRS; [ 1 ]; [ 2 ]; Liversidge Award; Davy Medal; Royal Medal; Longstaff Prize; Faraday Lectureship Prize; Nobel Prize in Chemistry  [ 3 ]; Nobel Prize in Chemistry; [ 3 ]; Leverhulme Medal 1960); Leverhulme Medal; Copley Medal; Dalton Medal
1956,Kemija,Nikolay Semyonov,https://en.wikipedia.org/wiki/Nikolay_Semyonov,,,Nobel Prize in Chemistry; Lomonosov Gold Medal
1957,Kemija,The Lord Todd,https://en.wikipedia.org/wiki/The_Lord_Todd,,,
1958,Kemija,Frederick Sanger,https://en.wikipedia.org/wiki/Frederick_Sanger,1918-08-13,England,Nobel Prize in Chemistry (1958; 1980); Nobel Prize in Chemistry; Royal Medal; Gairdner Foundation International Award; William Bate Hardy Prize; Copley Medal; Louisa Gross Horwitz Prize
1959,Kemija,Jaroslav Heyrovský,https://en.wikipedia.org/wiki/Jaroslav_Heyrovsk%C3%BD,1890-12-20,Austria-Hungary,Nobel Prize in Chemistry; ForMemRS; [ 1 ]
1960,Kemija,Willard Libby,https://en.wikipedia.org/wiki/Willard_Libby,1908-12-17,U.S.,Elliott Cresson Medal; Willard Gibbs Award; Joseph Priestley Award; Albert Einstein Award; Nobel Prize in Chemistry; Arthur L. Day Medal
1961,Kemija,Melvin Calvin,https://en.wikipedia.org/wiki/Melvin_Calvin,,,Centenary Prize; William H. Nichols Medal; Nobel Prize for Chemistry; Davy Medal; Priestley Medal; AIC Gold Medal; National Medal of Science; [ 1 ]
1962,Kemija,Max Perutz,https://en.wikipedia.org/wiki/Max_Perutz,,,Nobel Prize for Chemistry; Wilhelm Exner Medal; Sir Hans Krebs Medal; Royal Medal; Copley Medal
1962,Kemija,John Kendrew,https://en.wikipedia.org/wiki/John_Kendrew,1917-03-24,England,Nobel Prize for Chemistry; Royal Medal
1963,Kemija,Karl Ziegler,https://en.wikipedia.org/wiki/Karl_Ziegler,,,Liebig Medal; War Merit Cross; Werner von Siemens Ring; Nobel Prize for Chemistry; Pour le Mérite; FRS
1963,Kemija,Giulio Natta,https://en.wikipedia.org/wiki/Giulio_Natta,1903-02-26,Italy,Nobel Prize in Chemistry; Lomonosov Gold Medal
1964,Kemija,Dorothy Hodgkin,https://en.wikipedia.org/wiki/Dorothy_Hodgkin,1910-05-12,Egypt,Royal Medal; Nobel Prize in Chemistry; Order of Merit; Copley Medal; Dalton Medal; Lomonosov Gold Medal
1965,Kemija,Robert Burns Woodward,https://en.wikipedia.org/wiki/Robert_Burns_Woodward,1917-04-10,U.S.,Centenary Prize; ForMemRS  [ 1 ]; ForMemRS; [ 1 ]; William H. Nichols Medal; Davy Medal; National Medal of Science; Nobel Prize in Chemistry; Willard Gibbs Award; Copley Medal
1966,Kemija,Robert S. Mulliken,https://en.wikipedia.org/wiki/Robert_S._Mulliken,1896-06-07,U.S.,Peter Debye Award; Nobel Prize in Chemistry; ForMemRS  [ 1 ]; ForMemRS; [ 1 ]; Priestley Medal
1967,Kemija,Manfred Eigen,https://en.wikipedia.org/wiki/Manfred_Eigen,1927-05-09,Germany,Otto Hahn Prize; Nobel Prize in Chemistry  [ 1 ]; Nobel Prize in Chemistry; [ 1 ]; ForMemRS  [ 2 ]; ForMemRS; [ 2 ]
1967,Kemija,Ronald George Wreyford Norrish,https://en.wikipedia.org/wiki/Ronald_George_Wreyford_Norrish,1897-11-09,England,FRS  [ 1 ]; FRS; [ 1 ]; Davy Medal; Faraday Lectureship Prize; Nobel Prize in Chemistry
1967,Kemija,George Porter,https://en.wikipedia.org/wiki/George_Porter,1920-12-06,England,Corday-Morgan Prize; FRS  [ 1 ]; FRS; [ 1 ]; Nobel Prize in Chemistry  [ 2 ]; Nobel Prize in Chemistry; [ 2 ]; Davy Medal; Kalinga Prize; Rumford Medal; Faraday Lectureship Prize; Order of Merit; Michael Faraday Prize; Copley Medal
1968,Kemija,Lars Onsager,https://en.wikipedia.org/wiki/Lars_Onsager,1903-11-27,Norway,Lorentz Medal; Willard Gibbs Award; Peter Debye Award; Nobel Prize in Chemistry; National Medal of Science; ForMemRS  [ 1 ]; ForMemRS; [ 1 ]
1969,Kemija,Derek Barton,https://en.wikipedia.org/wiki/Derek_Barton,1918-09-08,England,Corday-Morgan Prize; Tilden Prize; FRS  [ 1 ]; FRS; [ 1 ]; Ernest Guenther Award; Davy Medal; Nobel Prize in Chemistry; Royal Medal; Knight Bachelor; Copley Medal; Priestley Medal
1969,Kemija,Odd Hassel,https://en.wikipedia.org/wiki/Odd_Hassel,1897-05-17,Norway,Nobel Prize in Chemistry
1970,Kemija,Luis Federico Leloir,https://en.wikipedia.org/wiki/Luis_Federico_Leloir,1906-09-06,France,Louisa Gross Horwitz Prize; Nobel Prize in Chemistry; Legion of Honour
1971,Kemija,Gerhard Herzberg,https://en.wikipedia.org/wiki/Gerhard_Herzberg,,,FRS  [ 1 ]; FRS; [ 1 ]; Henry Marshall Tory Medal; Centenary Prize; Bakerian Medal; Frederic Ives Medal; Willard Gibbs Award; Faraday Lectureship Prize; Linus Pauling Award; Nobel Prize for Chemistry; Chemical Institute of Canada Medal; Royal Medal; Watts Lecture; Earle K. Plyler Prize
1972,Kemija,Christian B. Anfinsen,https://en.wikipedia.org/wiki/Christian_B._Anfinsen,,,Nobel Prize in Chemistry
1972,Kemija,Stanford Moore,https://en.wikipedia.org/wiki/Stanford_Moore,1913-09-04,Illinois,Nobel Prize in Chemistry
1972,Kemija,William Howard Stein,https://en.wikipedia.org/wiki/William_Howard_Stein,1911-06-25,USA,Nobel Prize in Chemistry
1973,Kemija,Ernst Otto Fischer,https://en.wikipedia.org/wiki/Ernst_Otto_Fischer,,,Nobel Prize for Chemistry
1973,Kemija,Geoffrey Wilkinson,https://en.wikipedia.org/wiki/Geoffrey_Wilkinson,1921-07-14,England,FRS  [ 1 ]; FRS; [ 1 ]; Nobel Prize in Chemistry; Royal Medal; Ludwig Mond Award; Davy Medal
1974,Kemija,Paul Flory,https://en.wikipedia.org/wiki/Paul_Flory,1910-06-19,U.S.,Nobel Prize for Chemistry; National Medal of Science; Priestley Medal; Perkin Medal; [ 1 ]; Elliott Cresson Medal; Peter Debye Award; Charles Goodyear Medal; William H. Nichols Medal; Colwyn medal
1975,Kemija,John Cornforth,https://en.wikipedia.org/wiki/John_Cornforth,1917-09-07,Australia,Corday–Morgan Medal; FRS  [ 1 ] [ 2 ]; FRS; [ 1 ]; [ 2 ]; Davy Medal; Ernest Guenther Award; Nobel Prize in Chemistry; Royal Medal; Copley Medal
1975,Kemija,Vladimir Prelog,https://en.wikipedia.org/wiki/Vladimir_Prelog,1906-07-23,Austria-Hungary,Centenary Prize; ForMemRS  [ 1 ]; ForMemRS; [ 1 ]; Marcel Benoist Prize; Davy Medal; Paul Karrer Gold Medal; Nobel Prize for Chemistry; Chirality Medal
1976,Kemija,William Lipscomb,https://en.wikipedia.org/wiki/William_Lipscomb,1919-12-09,U.S. [ 1 ],Peter Debye Award; Nobel Prize in Chemistry
1977,Kemija,Ilya Prigogine,https://en.wikipedia.org/wiki/Ilya_Prigogine,1917-01-25,Russian Empire,Francqui Prize; Rumford Medal; Nobel Prize in Chemistry
1978,Kemija,Peter D. Mitchell,https://en.wikipedia.org/wiki/Peter_D._Mitchell,1920-09-29,England,Rosenstiel Award; Nobel Prize in Chemistry; Sir Hans Krebs Medal; Copley Medal
1979,Kemija,Herbert C. Brown,https://en.wikipedia.org/wiki/Herbert_C._Brown,,,Centenary Prize; William H. Nichols Medal; National Medal of Science; Elliott Cresson Medal; Nobel Prize for Chemistry; Priestley Medal; Perkin Medal; [ 1 ]; AIC Gold Medal; NAS Award in Chemical Sciences
1979,Kemija,Georg Wittig,https://en.wikipedia.org/wiki/Georg_Wittig,1897-06-16,German Empire,Otto Hahn Prize for Chemistry and Physics; Paul Karrer Gold Medal; Nobel Prize in Chemistry
1980,Kemija,Paul Berg,https://en.wikipedia.org/wiki/Paul_Berg,1926-06-30,U.S.,Nobel Prize in Chemistry; AAAS Award for Scientific Freedom and Responsibility; National Medal of Science; Max Delbrück Medal
1980,Kemija,Walter Gilbert,https://en.wikipedia.org/wiki/Walter_Gilbert,1932-03-21,U.S.,NAS Award in Molecular Biology; Louisa Gross Horwitz Prize; Nobel Prize in Chemistry
1980,Kemija,Frederick Sanger,https://en.wikipedia.org/wiki/Frederick_Sanger,1918-08-13,England,Nobel Prize in Chemistry (1958; 1980); Nobel Prize in Chemistry; Royal Medal; Gairdner Foundation International Award; William Bate Hardy Prize; Copley Medal; Louisa Gross Horwitz Prize
1981,Kemija,Kenichi Fukui,https://en.wikipedia.org/wiki/Kenichi_Fukui,,,Nobel Prize in Chemistry; Order of Culture; Grand Cordon of the Order of the Rising Sun; Order of the Rising Sun; ForMemRS  [ 1 ]; ForMemRS; [ 1 ]
1981,Kemija,Roald Hoffmann,https://en.wikipedia.org/wiki/Roald_Hoffmann,1937-07-18,Second Polish Republic,Nobel Prize in Chemistry; William H. Nichols Medal; National Medal of Science; ForMemRS  [ 1 ]; ForMemRS; [ 1 ]; NAS Award in Chemical Sciences; Priestley Medal; Lomonosov Gold Medal
1982,Kemija,Aaron Klug,https://en.wikipedia.org/wiki/Aaron_Klug,1926-08-11,Lithuania,Louisa Gross Horwitz Prize; Nobel Prize in Chemistry; Copley Medal; Knighted; OM
1983,Kemija,Henry Taube,https://en.wikipedia.org/wiki/Henry_Taube,1915-11-30,Canada,William H. Nichols Medal; National Medal of Science; Welch Award in Chemistry; Nobel Prize in Chemistry; NAS Award in Chemical Sciences; Priestley Medal
1984,Kemija,Robert Bruce Merrifield,https://en.wikipedia.org/wiki/Robert_Bruce_Merrifield,1921-07-15,Texas,Albert Lasker Award for Basic Medical Research; Gairdner Foundation International Award; Nobel Prize in Chemistry; Academy of Achievement; [ 1 ]; Glenn T. Seaborg Medal; Chemical Pioneer Award
1985,Kemija,Herbert A. Hauptman,https://en.wikipedia.org/wiki/Herbert_A._Hauptman,1917-02-14,U.S.,Nobel Prize in Chemistry; Jerome Karle; UNSW Dirac Medal
